typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","242","FJI","Fiji","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2423.249","true","8","kg","1427.06","false","1427.06","false","0","false","795350.364",,"795350.364","2","true","false",
"C","A","20250101","2025","52","2025","246","FIN","Finland","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2397","false","5","u","2397","false","1470.905","true","0","false","909682.791",,"909682.791","4","false","true",
"C","A","20250101","2025","52","2025","344","HKG","China, Hong Kong SAR","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13454819.5","true","-1","N/A","0","false","4375479.961","true","0","false","4416093186.26",,"4416093186.26","6","true","false",
"C","A","20250101","2025","52","2025","348","HUN","Hungary","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1776.723","false","5","u","1776.723","false","650","false","0","false","533849.347",,"533849.347","0","false","true",
"C","A","20250101","2025","52","2025","352","ISL","Iceland","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","101.86","true","-1","N/A","0","false","29.605","true","0","false","33431.982","30927.279","33431.982","6","true","false",
"C","A","20250101","2025","52","2025","360","IDN","Indonesia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1662.775","true","8","kg","9059.578","false","9059.578","false","0","false","545750",,"545750","2","false","true",
"C","A","20250101","2025","52","2025","380","ITA","Italy","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1949","false","5","u","1949","false","619","false","0","false","760320.456",,"760320.456","0","true","false",
"C","A","20250101","2025","52","2025","392","JPN","Japan","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10620","false","5","u","10620","false","1194.78","true","0","false","1205870.247",,"1205870.247","4","true","false",
"C","A","20250101","2025","52","2025","417","KGZ","Kyrgyzstan","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6879.957","true","8","kg","1737","false","1737","false","0","false","2258115",,"2258115","2","false","true",
"C","A","20250101","2025","52","2025","428","LVA","Latvia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","91","false","5","u","91","false","36.422","true","0","false","78559.817",,"78559.817","4","false","true",
