"State Imports by HS Commodities"
"Current date: 05/22/2026 8:52 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Air SWT (kg)","Vessel SWT (kg)",
"845012 Wash Mac With Blt-in Cent Dry,cap Not Exc 10 Kg","China","August 2025","","272,286"
"845012 Wash Mac With Blt-in Cent Dry,cap Not Exc 10 Kg","China","September 2025","","163,805"
"845012 Wash Mac With Blt-in Cent Dry,cap Not Exc 10 Kg","China","October 2025","","125,546"
"845012 Wash Mac With Blt-in Cent Dry,cap Not Exc 10 Kg","China","November 2025","","108,187"
"845012 Wash Mac With Blt-in Cent Dry,cap Not Exc 10 Kg","China","December 2025","","181,950"
"845012 Wash Mac With Blt-in Cent Dry,cap Not Exc 10 Kg","China","2026 through March","","422,876"
"845012 Wash Mac With Blt-in Cent Dry,cap Not Exc 10 Kg","China","January 2026","","139,682"
"845012 Wash Mac With Blt-in Cent Dry,cap Not Exc 10 Kg","China","February 2026","","139,084"
"845012 Wash Mac With Blt-in Cent Dry,cap Not Exc 10 Kg","China","March 2026","","144,110"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","January 2025","","687,838"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","February 2025","","393,603"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","March 2025","14","512,528"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","April 2025","","437,800"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","May 2025","","289,893"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","June 2025","","570,178"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","July 2025","","714,021"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","August 2025","","799,532"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","September 2025","","333,649"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","October 2025","","570,127"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","November 2025","","460,868"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","December 2025","","628,517"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","2026 through March","","1,756,715"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","January 2026","","560,524"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","February 2026","","641,872"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","China","March 2026","","554,319"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","Korea, South","June 2025","","2,592"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","Korea, South","July 2025","1,440","716"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","Korea, South","October 2025","","90"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","Korea, South","December 2025","","751"
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","Korea, South","2026 through March","45",""
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","Korea, South","January 2026","45",""
"845019 Wash Mach, Capacity Not Exc 10 Kg, Household,nesoi","Mexico","April 2025","","6,916"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","January 2025","","10,167,253"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","February 2025","3,066","13,289,043"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","March 2025","","7,896,281"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","April 2025","","6,167,526"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","May 2025","","4,876,589"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","June 2025","","4,203,934"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","July 2025","4,346","3,192,674"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","August 2025","5,800","4,351,877"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","September 2025","","4,886,657"
