,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
799126,845011,5700,52,01,2024,12,69989,0,0,69989,20857,69989,20857,1837313,0,0,154279,39896,154279,39896,5201,18401.999381665668,1535242004.4136033
799127,845011,5700,53,01,2024,12,0,0,0,0,0,0,0,148434,0,0,148434,53800,145459,50552,5301,18890.7858055673,0.0
799128,845011,5800,10,03,2024,12,477159,0,0,477159,87445,477159,87445,2560177,0,0,2560177,460762,2560177,460762,1003,18908.46650603098,7440528841.289456
799129,845011,5800,13,03,2024,12,0,0,0,0,0,0,0,5217,0,0,5217,924,5217,924,1303,18794.971516603866,0.0
799130,845011,5800,14,01,2024,12,0,0,0,0,0,0,0,19796,0,0,19796,3711,19796,3711,1401,18559.850853331212,0.0
799131,845011,5800,16,01,2024,12,0,0,0,0,0,0,0,24256,0,0,24256,4673,24256,4673,1601,18144.475511883702,0.0
799132,845011,5800,17,03,2024,12,31118,0,0,31118,6688,31118,6688,134351,0,0,134351,27643,134351,27643,1703,18153.60222059694,546350812.4310855
799133,845011,5800,18,01,2024,12,0,0,0,0,0,0,0,193099,0,0,193099,41426,193099,41426,1801,17557.455778847645,0.0
799134,845011,5800,18,03,2024,12,0,0,0,0,0,0,0,12523,0,0,12523,2151,12523,2151,1803,18024.61096872113,0.0
799135,845011,5800,19,01,2024,12,0,0,0,0,0,0,0,6876,0,0,6876,1097,6876,1097,1901,17775.952028900057,0.0
799136,845011,5800,20,06,2024,12,0,0,0,0,0,0,0,2477,0,0,0,0,0,0,2006,17784.88698611121,0.0
799137,845011,5800,27,04,2024,12,695132,0,0,695132,117650,695132,117650,2158640,0,0,2158640,390327,2158640,390327,2704,9806.216944536469,5191656405.86122
799138,845011,5800,27,09,2024,12,141534,0,0,141534,22827,141534,22827,598080,0,0,598080,104608,598080,104608,2709,9806.216944536469,1007309313.8682029
799139,845011,5800,28,11,2024,12,8814,0,0,8814,1592,8814,1592,144701,0,0,144701,26315,144701,26315,2811,9177.997858440787,65751176.6578698
799140,845011,5800,29,04,2024,12,0,0,0,0,0,0,0,7398,0,0,7398,1254,7398,1254,2904,8752.08573852728,0.0
799141,845011,5800,30,01,2024,12,108323,0,0,108323,17793,108323,17793,177427,0,0,177427,31389,177427,31389,3001,8657.609914704306,693201839.4555017
799142,845011,5800,30,02,2024,12,0,0,0,0,0,0,0,47808,0,0,47808,8463,47808,8463,3002,8693.025431067475,0.0
799143,845011,5800,53,01,2024,12,13345,0,0,13345,1921,13345,1921,212633,0,0,212633,41864,212633,41864,5301,18022.041655031942,155791539.08692363
799293,845020,5330,20,02,2024,12,0,0,0,0,0,0,0,5930,5930,800,0,0,0,0,2002,17647.858721628898,0.0
799316,845020,5520,10,01,2024,12,0,0,0,0,0,0,0,306172,0,0,306172,78120,306172,78120,1001,20026.308975778407,0.0
799317,845020,5520,10,03,2024,12,3902345,0,0,3902345,1107015,3902345,1107015,60199843,0,0,60199843,15291601,60199843,15291601,1003,20027.00655439514,155191376625.69617
