,commodity,cty_code,state,year,month,gen_val_mo,con_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,con_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,distance,gen_swt_mo,co2
992995,852849,2010,CA,2025,12,0,0,0,0,0,0,0,0,28133,28133,0,0,0,0,0,0,2847.1157327397364,0.0,0.0
993095,852852,2010,AL,2025,12,0,0,0,0,0,0,0,0,20107,20107,0,0,0,0,0,0,1977.845496829456,0.0,0.0
993096,852852,2010,AR,2025,12,74797,74797,0,0,0,0,0,0,141945,141945,0,0,0,0,0,0,1668.2260662611543,4322.531816296368,576876819.8551018
993097,852852,2010,AZ,2025,12,0,0,0,0,0,0,0,0,38688,38688,0,0,0,0,0,0,1844.4437636261728,0.0,0.0
993098,852852,2010,CA,2025,12,25343683,25343683,0,0,0,0,0,0,193420909,193420909,119413,279,0,0,0,0,2847.1157327397364,1464615.9085207877,333594479645.635
993099,852852,2010,CO,2025,12,0,0,0,0,0,0,0,0,70155,70155,0,0,0,0,0,0,2028.894379593746,0.0,0.0
993100,852852,2010,DE,2025,12,0,0,0,0,0,0,0,0,4393,4393,0,0,0,0,0,0,3563.9450849906952,0.0,0.0
993101,852852,2010,FL,2025,12,0,0,0,0,0,0,0,0,560213,560213,47795,791,152955,6720,152955,6720,2442.374792665254,0.0,0.0
993102,852852,2010,GA,2025,12,527374,527374,0,0,0,0,0,0,6971996,6971996,5162,13,0,0,0,0,2389.453883861842,30477.03643311203,5825877845.895871
993103,852852,2010,IA,2025,12,0,0,0,0,0,0,0,0,4783,4783,0,0,0,0,0,0,2513.410959944665,0.0,0.0
993104,852852,2010,IL,2025,12,325719,325719,0,0,0,0,0,0,5533157,5533157,15757,31,0,0,0,0,2522.072330734667,18823.35843245366,3797909717.9193964
993105,852852,2010,IN,2025,12,0,0,0,0,0,0,0,0,42050,42050,0,0,25956,263,25956,263,2660.9102858506853,0.0,0.0
993106,852852,2010,KY,2025,12,0,0,0,0,0,0,0,0,66593,66593,53051,118,0,0,0,0,2583.494941710599,0.0,0.0
993107,852852,2010,LA,2025,12,0,0,0,0,0,0,0,0,6201,6201,0,0,0,0,0,0,1325.1111591419326,0.0,0.0
993108,852852,2010,MA,2025,12,0,0,0,0,0,0,0,0,646001,646001,0,0,0,0,0,0,4192.271096849977,0.0,0.0
993109,852852,2010,MD,2025,12,77376,77376,0,0,0,0,0,0,827724,827724,0,0,0,0,0,0,3445.154709249837,4471.572680959767,1232420774.364917
993110,852852,2010,MI,2025,12,12896,12896,0,0,0,0,0,0,212526,212526,0,0,0,0,0,0,3197.531966266117,745.2621134932946,190639954.4913485
993111,852852,2010,MN,2025,12,19983,19983,7087,12,0,0,0,0,165966,165966,7087,12,0,0,0,0,3065.7983074123918,1154.8210928920987,283235884.156218
993112,852852,2010,MO,2025,12,0,0,0,0,0,0,0,0,11886,11886,0,0,0,0,0,0,2073.2760794465025,0.0,0.0
993113,852852,2010,NC,2025,12,2824,2824,0,0,0,0,0,0,2824,2824,0,0,0,0,0,0,3011.529391850041,163.19945785554154,39318397.12527643
993114,852852,2010,NH,2025,12,0,0,0,0,0,0,0,0,18063,18063,0,0,0,0,0,0,4225.382182099295,0.0,0.0
993115,852852,2010,NJ,2025,12,275125,275125,0,0,0,0,0,0,39990438,39990438,7028,128,53337,143,53337,143,3752.1214722537475,15899.522253011994,4772555107.528207
993116,852852,2010,NV,2025,12,854852,854852,0,0,0,0,0,0,862462,862462,0,0,0,0,0,0,2727.3254956820124,49402.04778566764,10778837157.180197
993117,852852,2010,NY,2025,12,98462,98462,46607,124,0,0,0,0,2248011,2248011,258693,651,0,0,0,0,3786.3681901126456,5690.13633830465,1723596098.300862
993118,852852,2010,OH,2025,12,434862,434862,0,0,0,0,0,0,3324962,3324962,0,0,0,0,0,0,2996.722411584126,25130.751643759388,6024790933.66467
993119,852852,2010,OK,2025,12,359359,359359,0,0,0,0,0,0,4170072,4170072,0,0,0,0,0,0,1471.4293258247562,20767.419962999134,2444623260.4220324
993120,852852,2010,OR,2025,12,0,0,0,0,0,0,0,0,50835,50835,0,0,0,0,0,0,3537.689510936759,0.0,0.0
993121,852852,2010,PA,2025,12,32880,32880,0,0,0,0,0,0,402423,402423,0,0,0,0,0,0,3512.434521496396,1900.1409965616876,533929666.5627069
993122,852852,2010,SC,2025,12,0,0,0,0,0,0,0,0,2064,2064,0,0,2064,29,2064,29,2670.87984783615,0.0,0.0
993123,852852,2010,TN,2025,12,0,0,0,0,0,0,0,0,338208,338208,18604,76,0,0,0,0,2219.5650339456356,0.0,0.0
993124,852852,2010,TX,2025,12,6430286,6430286,21942,460,0,0,0,0,27155086,27151431,296135,1739,26282,83,26282,83,852.8322792632797,371607.3615637673,25353500252.27531
993125,852852,2010,UT,2025,12,23596,23596,10700,24,0,0,0,0,170430,170430,10700,24,0,0,0,0,2366.930378300682,1363.6169998439655,258206920.1038335
993126,852852,2010,VA,2025,12,0,0,0,0,0,0,0,0,1020181,1020181,0,0,0,0,0,0,3150.808201829077,0.0,0.0
993127,852852,2010,WA,2025,12,59322,59322,0,0,0,0,0,0,443174,443174,0,0,0,0,0,0,3962.209195720608,3428.2288381396725,1086668786.2009268
993128,852852,2010,WI,2025,12,0,0,0,0,0,0,0,0,11821,11821,0,0,0,0,0,0,2965.575833992575,0.0,0.0
993129,852852,2010,WV,2025,12,0,0,0,0,0,0,0,0,181130,181130,0,0,0,0,0,0,3045.8665963584276,0.0,0.0
993998,852859,2010,AL,2025,12,0,0,0,0,0,0,0,0,5695,5695,0,0,0,0,0,0,1977.845496829456,0.0,0.0
993999,852859,2010,AZ,2025,12,0,0,0,0,0,0,0,0,12848,12848,0,0,0,0,0,0,1844.4437636261728,0.0,0.0
994000,852859,2010,CA,2025,12,4881458,4881458,42028,900,0,0,0,0,271710603,271706848,1123672,21119,0,0,0,0,2847.1157327397364,282100.3183939788,64253780376.83087
994001,852859,2010,CO,2025,12,0,0,0,0,0,0,0,0,4730,4730,0,0,0,0,0,0,2028.894379593746,0.0,0.0
994002,852859,2010,FL,2025,12,0,0,0,0,0,0,0,0,2794,2794,0,0,0,0,0,0,2442.374792665254,0.0,0.0
994003,852859,2010,GA,2025,12,32467,32467,0,0,0,0,0,0,1574551,1574551,0,0,0,0,0,0,2389.453883861842,1876.2736537520777,358661549.53164405
994004,852859,2010,HI,2025,12,0,0,0,0,0,0,0,0,8800,8800,0,0,8800,188,0,0,7356.246928090679,0.0,0.0
994005,852859,2010,IA,2025,12,32524,32524,0,0,0,0,0,0,1318552,1318552,0,0,0,0,0,0,2513.410959944665,1879.5676938008617,377930083.3245603
994006,852859,2010,IL,2025,12,63995,63995,0,0,2814,3,2814,3,896643,896643,55583,583,8570,100,6198,68,2522.072330734667,3698.282331963662,746186843.2552345
994007,852859,2010,IN,2025,12,5436,5436,0,0,0,0,0,0,6192041,6192041,2975,64,0,0,0,0,2660.9102858506853,314.14739833665857,66873443.48057978
994008,852859,2010,KS,2025,12,0,0,0,0,0,0,0,0,58528,58528,58528,1253,0,0,0,0,1871.6623073548635,0.0,0.0
994009,852859,2010,KY,2025,12,9548,9548,0,0,0,0,0,0,70955,70955,0,0,0,0,0,0,2583.494941710599,551.7806032594584,114041791.79638669
994010,852859,2010,MD,2025,12,0,0,0,0,0,0,0,0,4500,4500,4500,96,0,0,0,0,3445.154709249837,0.0,0.0
994011,852859,2010,MI,2025,12,2654386,2654386,0,0,0,0,0,0,32331249,32331249,303954,6496,0,0,0,0,3197.531966266117,153397.43489353382,39239456129.22398
994012,852859,2010,MN,2025,12,298480,298480,0,0,0,0,0,0,2298298,2298298,0,0,0,0,0,0,3065.7983074123918,17249.211820368993,4230608352.2468066
994013,852859,2010,NC,2025,12,0,0,0,0,0,0,0,0,5000,5000,5000,107,0,0,0,0,3011.529391850041,0.0,0.0
994014,852859,2010,NJ,2025,12,0,0,0,0,0,0,0,0,52174,52174,0,0,0,0,0,0,3752.1214722537475,0.0,0.0
994015,852859,2010,NV,2025,12,0,0,0,0,0,0,0,0,2633,2633,0,0,0,0,0,0,2727.3254956820124,0.0,0.0
994016,852859,2010,NY,2025,12,43489,43489,43489,41,0,0,0,0,141664,141664,98745,257,0,0,0,0,3786.3681901126456,2513.236976869563,761283243.4747027
994017,852859,2010,OK,2025,12,35952,35952,0,0,0,0,0,0,796595,796595,17192,127,0,0,0,0,1471.4293258247562,2077.672418138254,244571850.040469
994018,852859,2010,OR,2025,12,0,0,0,0,0,0,0,0,7760,0,0,0,0,0,0,0,3537.689510936759,0.0,0.0
994019,852859,2010,PA,2025,12,0,0,0,0,0,0,0,0,4900,4900,0,0,0,0,0,0,3512.434521496396,0.0,0.0
994020,852859,2010,PR,2025,12,0,0,0,0,0,0,0,0,393520,393520,2780,83,390740,18906,390740,18906,4633.757745291259,0.0,0.0
994021,852859,2010,TN,2025,12,28644,28644,0,0,0,0,0,0,121386,121386,11128,69,0,0,0,0,2219.5650339456356,1655.3418097783754,293931104.0169896
994022,852859,2010,TX,2025,12,8229517,8010424,0,0,0,0,0,0,107042968,106972242,23214,333,0,0,0,0,852.8322792632797,475585.2382482163,32447555417.535698
994023,852859,2010,UT,2025,12,375923,375923,0,0,0,0,0,0,2229967,2229967,84369,1807,0,0,0,0,2366.930378300682,21724.65644314049,4113659943.4731903
994024,852859,2010,WA,2025,12,0,0,0,0,0,0,0,0,30561,30561,12986,278,0,0,0,0,3962.209195720608,0.0,0.0
994025,852859,2010,WI,2025,12,55720,55720,0,0,0,0,0,0,228230,228230,0,0,0,0,0,0,2965.575833992575,3220.068623127045,763948615.4034648
994704,852862,2010,GA,2025,12,0,0,0,0,0,0,0,0,17500,17500,0,0,0,0,0,0,2389.453883861842,0.0,0.0
994705,852862,2010,TX,2025,12,0,0,0,0,0,0,0,0,223920,223920,0,0,0,0,0,0,852.8322792632797,0.0,0.0
994938,852869,2010,GA,2025,12,335545,335545,0,0,0,0,0,0,2275615,2275615,0,0,0,0,0,0,2389.453883861842,19391.20470472298,3706751151.5568275
994939,852869,2010,IL,2025,12,0,0,0,0,0,0,0,0,4170283,4170283,0,0,0,0,0,0,2522.072330734667,0.0,0.0
994940,852869,2010,KY,2025,12,0,0,0,0,0,0,0,0,16728503,16728503,0,0,0,0,0,0,2583.494941710599,0.0,0.0
994941,852869,2010,MI,2025,12,996009,996009,4452,6,0,0,0,0,24522639,24522639,4452,6,0,0,0,0,3197.531966266117,57559.53570086405,14723876429.355886
994942,852869,2010,TN,2025,12,3333,3333,0,0,0,0,0,0,59795,59795,0,0,0,0,0,0,2219.5650339456356,192.61465758941927,34201660.72087091
994943,852869,2010,TX,2025,12,0,0,0,0,0,0,0,0,86546,86546,0,0,0,0,0,0,852.8322792632797,0.0,0.0
995132,852871,2010,AZ,2025,12,0,0,0,0,0,0,0,0,72637,72637,0,0,0,0,0,0,1844.4437636261728,0.0,0.0
995133,852871,2010,CA,2025,12,0,0,0,0,0,0,0,0,26636,26636,0,0,0,0,0,0,2847.1157327397364,0.0,0.0
995134,852871,2010,CO,2025,12,742548,742548,0,0,0,0,0,0,9201133,9201133,0,0,0,0,0,0,2028.894379593746,42911.979827095136,6965109975.074682
995135,852871,2010,FL,2025,12,0,0,0,0,0,0,0,0,6720,6720,0,0,0,0,0,0,2442.374792665254,0.0,0.0
995136,852871,2010,GA,2025,12,0,0,0,0,0,0,0,0,537145,537145,0,0,0,0,0,0,2389.453883861842,0.0,0.0
995137,852871,2010,MI,2025,12,0,0,0,0,0,0,0,0,2185,2185,0,0,0,0,0,0,3197.531966266117,0.0,0.0
995138,852871,2010,NY,2025,12,0,0,0,0,0,0,0,0,7340,7340,0,0,0,0,0,0,3786.3681901126456,0.0,0.0
995139,852871,2010,PR,2025,12,2555,2555,0,0,2555,159,2555,159,2555,2555,0,0,2555,159,2555,159,4633.757745291259,147.6539004323331,54735392.38006303
