,commodity,cty_code,state,year,month,gen_val_mo,con_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,con_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,distance,gen_swt_mo,co2
943670,852859,2010,MA,2024,12,0,0,0,0,0,0,0,0,43612,43612,43612,243,0,0,0,0,4192.271096849977,0.0,0.0
943671,852859,2010,MI,2024,12,1889192,1889192,0,0,0,0,0,0,15635770,15635770,223501,2869,0,0,0,0,3197.531966266117,107583.77562884566,27520204929.986847
943672,852859,2010,MT,2024,12,0,0,0,0,0,0,0,0,3897,3897,0,0,0,0,0,0,3247.3866941194915,0.0,0.0
943673,852859,2010,NC,2024,12,0,0,0,0,0,0,0,0,62406,62406,9031,133,0,0,0,0,3011.529391850041,0.0,0.0
943674,852859,2010,ND,2024,12,0,0,0,0,0,0,0,0,66506,66506,66506,53,0,0,0,0,3159.5610181066772,0.0,0.0
943675,852859,2010,NH,2024,12,0,0,0,0,0,0,0,0,8700,8700,8700,48,0,0,0,0,4225.382182099295,0.0,0.0
943676,852859,2010,NJ,2024,12,0,0,0,0,0,0,0,0,95469,95469,0,0,0,0,0,0,3752.1214722537475,0.0,0.0
943677,852859,2010,NY,2024,12,0,0,0,0,0,0,0,0,46578,46578,37378,242,0,0,0,0,3786.3681901126456,0.0,0.0
943678,852859,2010,OH,2024,12,0,0,0,0,0,0,0,0,22948,22948,2422,4,0,0,0,0,2996.722411584126,0.0,0.0
943679,852859,2010,OK,2024,12,3383,3383,0,0,0,0,0,0,402193,402193,0,0,0,0,0,0,1471.4293258247562,192.65162723131627,22677860.318081435
943680,852859,2010,OR,2024,12,0,0,0,0,0,0,0,0,32216,0,0,0,0,0,0,0,3537.689510936759,0.0,0.0
943681,852859,2010,PA,2024,12,0,0,0,0,0,0,0,0,8270,8270,6166,59,0,0,0,0,3512.434521496396,0.0,0.0
943682,852859,2010,SC,2024,12,0,0,0,0,0,0,0,0,9400,9400,9400,12,0,0,0,0,2670.87984783615,0.0,0.0
943683,852859,2010,TN,2024,12,24700,24700,9318,60,0,0,0,0,279315,1127190,18612,81,0,0,0,0,2219.5650339456356,1406.5903613992054,249761502.6597305
943684,852859,2010,TX,2024,12,4919011,4919011,2669,57,0,0,0,0,54304640,54222864,25631,221,0,0,0,0,852.8322792632797,280122.81215452094,19111822109.070374
943685,852859,2010,UT,2024,12,132628,132628,0,0,0,0,0,0,842812,842812,342294,5765,0,0,0,0,2366.930378300682,7552.763823953595,1430149290.8036952
943686,852859,2010,WA,2024,12,0,0,0,0,0,0,0,0,3600,3600,0,0,0,0,0,0,3962.209195720608,0.0,0.0
943687,852859,2010,WI,2024,12,0,0,0,0,0,0,0,0,3248,3248,0,0,0,0,0,0,2965.575833992575,0.0,0.0
944376,852862,2010,NC,2024,12,0,0,0,0,0,0,0,0,5848,5848,5848,6,0,0,0,0,3011.529391850041,0.0,0.0
944377,852862,2010,TX,2024,12,56691,56691,0,0,0,0,0,0,1259427,1259427,5698,9,0,0,0,0,852.8322792632797,3228.381140813051,220261411.73201448
944628,852869,2010,IL,2024,12,354873,354873,0,0,0,0,0,0,4258592,4258592,0,0,0,0,0,0,2522.072330734667,20208.944992745757,4077473679.963438
944629,852869,2010,IN,2024,12,0,0,0,0,0,0,0,0,111648,111648,0,0,0,0,0,0,2660.9102858506853,0.0,0.0
944630,852869,2010,KY,2024,12,1206631,1206631,0,0,0,0,0,0,12616391,12616391,35524,735,0,0,0,0,2583.494941710599,68713.98924556618,14201779491.254137
944631,852869,2010,MI,2024,12,1537325,1537325,0,0,0,0,0,0,9692098,9692098,130549,1903,0,0,0,0,3197.531966266117,87546.01325255196,22394494071.53536
944632,852869,2010,TN,2024,12,0,0,0,0,0,0,0,0,37192,37192,0,0,0,0,0,0,2219.5650339456356,0.0,0.0
944633,852869,2010,TX,2024,12,28430,28430,0,0,0,0,0,0,624183,624183,0,0,0,0,0,0,852.8322792632797,1619.0025900639437,110459013.52139091
944634,852869,2010,UT,2024,12,0,0,0,0,0,0,0,0,3747,3747,0,0,0,0,0,0,2366.930378300682,0.0,0.0
944874,852871,2010,CA,2024,12,15000,15000,0,0,0,0,0,0,3389214,3389214,0,0,0,0,0,0,2847.1157327397364,854.2046729144972,194561565.05877322
944875,852871,2010,CO,2024,12,0,0,0,0,0,0,0,0,2129,2129,0,0,0,0,0,0,2028.894379593746,0.0,0.0
944876,852871,2010,FL,2024,12,0,0,0,0,0,0,0,0,35178,35178,0,0,0,0,0,0,2442.374792665254,0.0,0.0
944877,852871,2010,GA,2024,12,204500,204500,0,0,0,0,0,0,2676317,2676317,0,0,0,0,0,0,2389.453883861842,11645.657040734312,2226140835.6884484
944878,852871,2010,MI,2024,12,0,0,0,0,0,0,0,0,6672,6672,6672,15,0,0,0,0,3197.531966266117,0.0,0.0
944879,852871,2010,NC,2024,12,0,0,0,0,0,0,0,0,89476,89476,0,0,0,0,0,0,3011.529391850041,0.0,0.0
944880,852871,2010,OK,2024,12,3744,3744,3744,23,0,0,0,0,3744,3744,3744,23,0,0,0,0,1471.4293258247562,213.2094863594585,25097815.261867248
944881,852871,2010,TN,2024,12,0,0,0,0,0,0,0,0,76251,76251,0,0,0,0,0,0,2219.5650339456356,0.0,0.0
944882,852871,2010,TX,2024,12,9049,9049,0,0,0,0,0,0,85890,85890,0,0,0,0,0,0,852.8322792632797,515.313205680219,35158058.85877827
945044,852872,2010,AL,2024,12,65347,65347,0,0,0,0,0,0,1782555,1782555,0,0,0,0,0,0,1977.845496829456,3721.31418406291,588814760.0989126
945045,852872,2010,AR,2024,12,238526,238526,0,0,0,0,0,0,8346505,8346505,0,0,0,0,0,0,1668.2260662611543,13583.334920773557,1812805870.5271873
945046,852872,2010,AZ,2024,12,481727,481727,0,0,0,0,0,0,10417391,10417391,0,0,0,0,0,0,1844.4437636261728,27432.89696460547,4047874857.965274
945047,852872,2010,CA,2024,12,299179615,299179615,6947,197,0,0,0,0,5692932070,5692607992,46787,1554,6214,93,6214,93,2847.1157327397364,17037375.011584014,3880590275205.4155
945048,852872,2010,CO,2024,12,66549,66549,0,0,0,0,0,0,7918592,7918592,25740,396,0,0,0,0,2028.894379593746,3789.7644518524585,615122543.7078102
945049,852872,2010,CT,2024,12,0,0,0,0,0,0,0,0,256633,256633,0,0,0,0,0,0,4008.468995508672,0.0,0.0
945050,852872,2010,DE,2024,12,56310,56310,0,0,0,0,0,0,1342327,1342327,0,0,0,0,0,0,3563.9450849906952,3206.6843421210224,914275752.0175071
945051,852872,2010,FL,2024,12,2294136,2294136,0,0,5216,154,2400,126,54368219,54375119,0,0,550708,24586,70588,2338,2442.374792665254,130644.1127667582,25526551026.531773
945052,852872,2010,GA,2024,12,122107957,122107957,0,0,0,0,0,0,1415837955,1415837955,0,0,0,0,0,0,2389.453883861842,6953679.164629499,1329239654964.25
945053,852872,2010,IA,2024,12,0,0,0,0,0,0,0,0,1024299,1024299,0,0,0,0,0,0,2513.410959944665,0.0,0.0
945054,852872,2010,IL,2024,12,2456236,2456236,0,0,0,0,0,0,32996397,32996397,0,0,0,0,0,0,2522.072330734667,139875.2179320542,28222033352.153236
945055,852872,2010,IN,2024,12,1617480,1617480,0,0,0,0,0,0,6201750,6201750,0,0,0,0,0,0,2660.9102858506853,92110.59828971606,19607843073.99728
945056,852872,2010,KS,2024,12,67259,67259,0,0,0,0,0,0,680759,680759,0,0,0,0,0,0,1871.6623073548635,3830.196806370411,573506799.3787578
945057,852872,2010,KY,2024,12,0,0,0,0,0,0,0,0,3347191,3347191,0,0,0,0,0,0,2583.494941710599,0.0,0.0
945058,852872,2010,LA,2024,12,0,0,0,0,0,0,0,0,311891,311891,0,0,0,0,0,0,1325.1111591419326,0.0,0.0
945059,852872,2010,MA,2024,12,152381,152381,0,0,0,0,0,0,9123968,9123968,0,0,0,0,0,0,4192.271096849977,8677.637484225601,2910320705.1248746
945060,852872,2010,MD,2024,12,628068,628068,0,0,0,0,0,0,12724495,12724495,0,0,0,0,0,0,3445.154709249837,35766.574700537494,9857710661.063427
945061,852872,2010,MI,2024,12,1511941,1511941,0,0,0,0,0,0,12285379,12285379,0,0,0,0,0,0,3197.531966266117,86100.47115806786,22024720707.079662
945062,852872,2010,MN,2024,12,119565,119565,0,0,0,0,0,0,6070437,6070437,0,0,0,0,0,0,3065.7983074123918,6808.865447801458,1669968653.221474
945063,852872,2010,MO,2024,12,59602,59602,0,0,0,0,0,0,3220980,3220980,0,0,0,0,0,0,2073.2760794465025,3394.1537943366575,562961429.7408621
945064,852872,2010,MS,2024,12,61475,61475,0,0,0,0,0,0,1368447,1368447,0,0,0,0,0,0,1684.754570650966,3500.815484494581,471841191.0806337
945065,852872,2010,NC,2024,12,66549,66549,0,0,0,0,0,0,29008344,29008344,0,0,0,0,0,0,3011.529391850041,3789.7644518524585,913038962.795371
945066,852872,2010,ND,2024,12,0,0,0,0,0,0,0,0,418963,418963,0,0,0,0,0,0,3159.5610181066772,0.0,0.0
945067,852872,2010,NE,2024,12,0,0,0,0,0,0,0,0,156389,156389,0,0,0,0,0,0,2287.6470902215096,0.0,0.0
945068,852872,2010,NH,2024,12,0,0,0,0,0,0,0,0,1375321,1375321,0,0,0,0,0,0,4225.382182099295,0.0,0.0
