,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
953212,852849,5700,27,09,2024,12,136068,0,0,136068,21073,136068,21073,174835,0,0,174835,27408,174835,27408,2709,10674.961095071822,899813820.6257939
953794,852852,5520,17,03,2024,12,626316,0,0,626316,24689,626316,24689,2608368,0,0,2608368,79266,2608368,79266,1703,20949.03024427143,3620474253.9057217
953797,852852,5520,27,04,2024,12,35278490,0,0,35278490,2234050,33592691,2189784,425218271,0,0,425218271,23321912,422194514,23231547,2704,13525.16778851572,211511307685.53482
953798,852852,5520,27,09,2024,12,1250476,0,0,1250476,41462,1250476,41462,52803271,0,0,52803271,2479649,52803271,2479649,2709,13525.16778851572,3925463547.9320717
953803,852852,5520,30,02,2024,12,1117640,0,0,1117640,42199,1117640,42199,3321417,0,0,3321417,114877,3321417,114877,3002,12411.976275046727,3666410907.8148775
953814,852852,5520,52,01,2024,12,419655,0,0,419655,13947,419655,13947,6245213,0,0,6245213,171724,6245213,171724,5201,21231.81236872519,2072840609.7462716
953873,852852,5700,10,01,2024,12,2788,0,0,2788,194,2788,194,1522106,0,0,1522106,82313,1494258,81759,1001,19776.513077949607,15346574.148488894
953875,852852,5700,10,03,2024,12,6386683,651127,5114,5735556,504748,5650026,503063,294018132,1585569,17669,292432563,17311772,291599007,17283873,1003,19777.210656566334,39930030097.92218
953882,852852,5700,13,03,2024,12,188942,0,0,188942,17888,188942,17888,2343544,0,0,2343544,142406,2343544,142406,1303,19663.71566713922,1406978183.4151454
953883,852852,5700,14,01,2024,12,6530426,0,0,6530426,448736,6530426,448736,114508225,0,0,114508225,7336852,114508225,7336852,1401,19428.595003866565,34873240030.62027
953884,852852,5700,15,01,2024,12,7028371,0,0,7028371,492059,7028371,492059,45577454,0,0,45577454,3292336,45577454,3292336,1501,19085.631985613796,37565027956.836555
953887,852852,5700,16,01,2024,12,805944,0,0,805944,27078,805944,27078,9660102,0,0,9660102,557045,9660102,557045,1601,19013.219662419055,2059359848.0759327
953889,852852,5700,17,03,2024,12,7925931,0,0,7925931,445230,7923027,445174,157936225,0,0,157936225,8030418,157883253,8027596,1703,19022.34637113229,33877277099.27692
953892,852852,5700,18,01,2024,12,859152,6818,71,852334,34911,852334,34911,6098508,6818,71,6091690,172442,5815367,169842,1801,18426.199929383,2573108262.93876
953895,852852,5700,18,16,2024,12,3795,0,0,3795,45,0,0,5935,0,0,5935,101,0,0,1816,18642.34439180155,3355621.990524279
953896,852852,5700,19,01,2024,12,1118105,0,0,1118105,53640,1118105,53640,12666888,0,0,12666888,890940,12666888,890940,1901,18644.696179435414,4000406012.259662
953914,852852,5700,27,04,2024,12,270356139,0,0,270356139,14508729,269700929,14488424,2983562785,0,0,2983534458,159782537,2961865593,159221688,2704,10674.961095071822,619520470455.7612
953915,852852,5700,27,09,2024,12,47665396,0,0,47665396,2257394,47503432,2255419,609894444,0,0,609894444,29283292,606430680,29106620,2709,10674.961095071822,96390372504.99423
953920,852852,5700,28,09,2024,12,125899,0,0,125899,9926,125899,9926,3069143,0,0,3069143,147383,3069143,147383,2809,10028.77593686844,398182519.79742455
953921,852852,5700,28,11,2024,12,2682941,0,0,2682941,67334,2581001,61186,19334550,27250,555,19307300,696267,18393111,657639,2811,10046.74200897614,2705949305.7295976
953925,852852,5700,30,01,2024,12,332243,0,0,332243,19260,332243,19260,24538606,0,0,24538606,1240232,24429988,1236021,3001,9526.354065239659,733910317.1860633
953926,852852,5700,30,02,2024,12,2664077,0,0,2664077,166812,2664077,166812,25648166,0,0,25648166,1382812,25471874,1377655,3002,9561.769581602828,6380071629.785324
953943,852852,5700,36,04,2024,12,135428,0,0,135428,12002,135428,12002,5053180,0,0,5053180,369845,5053180,369845,3604,10541.191735416765,506061532.83388805
953955,852852,5700,49,09,2024,12,9942,0,0,9942,925,0,0,271469,0,0,271469,16465,205047,12865,4909,17976.190706469046,66511905.61393547
953957,852852,5700,52,01,2024,12,2204252,0,0,2204252,136977,2199152,136000,35775554,0,0,35775554,1973216,35282188,1945545,5201,18401.999381665668,10082602677.209673
953958,852852,5700,52,03,2024,12,47354,0,0,47354,3789,47354,3789,2371166,0,0,2371166,135435,2260301,127310,5203,18422.16366720927,279206312.5402237
953961,852852,5700,53,01,2024,12,1623903,0,0,1623903,118578,1623903,118578,40543010,0,0,40543010,2436342,40410200,2431559,5301,18890.7858055673,8960126397.010237
953970,852852,5800,10,03,2024,12,339634,154251,717,185383,1715,7648,230,1732750,165572,779,1567178,18916,576609,10175,1003,18908.46650603098,145926090.2602941
953982,852852,5800,27,04,2024,12,14452406,0,0,14452406,338144,14260278,334702,112769329,0,0,112769329,2642525,110301519,2601651,2704,9806.216944536469,14921610401.220028
953983,852852,5800,27,09,2024,12,3310784,0,0,3310784,75035,3310784,75035,10705601,0,0,10705601,227676,10705601,227676,2709,9806.216944536469,3311142697.949823
953987,852852,5800,28,11,2024,12,111116,0,0,111116,3251,111116,3251,5511108,0,0,5511108,35626,5511108,35626,2811,9177.997858440787,134269519.6700595
953989,852852,5800,30,02,2024,12,362621,0,0,362621,6614,362621,6614,362621,0,0,362621,6614,362621,6614,3002,8693.025431067475,258730515.90486127
954659,852859,5520,10,03,2024,12,2720,0,0,2720,26,2720,26,107859,0,0,107859,2291,107859,2291,1003,20027.00655439514,3644915.1928999154
954662,852859,5520,16,01,2024,12,276724,0,0,276724,840,276724,840,2409964,0,0,2409964,8422,2409964,8422,1601,20856.23784850532,122634678.54921128
954669,852859,5520,27,04,2024,12,327904,0,0,327904,7554,327904,7554,49685551,0,0,49685551,542013,49663991,540196,2704,13525.16778851572,715183822.3211343
954670,852859,5520,27,09,2024,12,3396299,0,0,3396299,60907,3396299,60907,29696961,0,0,29696961,344163,29696961,344163,2709,13525.16778851572,5766441761.465889
954673,852859,5520,28,11,2024,12,1687729,0,0,1687729,11242,1687729,11242,17784559,0,0,17784559,119647,17784559,119647,2811,12896.948702420039,1014912481.1882424
954750,852859,5700,04,01,2024,12,240889,0,0,240889,16922,240889,16922,2091652,0,0,2091652,146538,2091652,146538,0401,22786.719112209877,1542387443.2672622
954757,852859,5700,10,01,2024,12,325106,0,0,325106,3534,325106,3534,3136039,0,0,3136039,47351,3094039,47251,1001,19776.513077949607,279560788.86989564
954758,852859,5700,10,03,2024,12,1648703,0,0,1648703,64406,1619629,63715,15237703,316053,8088,14921650,497028,14168912,452806,1003,19777.210656566334,5095084118.187245
954760,852859,5700,11,01,2024,12,4539,2245,48,2294,71,2294,71,66266,34104,711,32162,2121,32162,2121,1101,19710.165752657576,5597687.073754752
954763,852859,5700,14,01,2024,12,6730,0,0,6730,9,6730,9,3196613,0,0,3196613,123100,3196613,123100,1401,19428.595003866565,699429.4201391963
954766,852859,5700,16,01,2024,12,102706,0,0,102706,4039,102706,4039,1387029,0,0,1387029,65114,1387029,65114,1601,19013.219662419055,307177576.86604226
