,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
824153,845011,5520,10,03,2025,12,121765,0,0,121765,23296,121765,23296,9075525,0,0,9075525,1604982,9075525,1604982,1003,20027.00655439514,3265844.012838324
824154,845011,5520,13,03,2025,12,16883,0,0,16883,4857,16883,4857,41227,0,0,41227,11493,41227,11493,1303,20589.05445521992,700007.2624230221
824155,845011,5520,14,01,2025,12,10291,0,0,10291,3382,10291,3382,68865,0,0,68865,19861,68865,19861,1401,20353.93379194727,481859.02859055967
824157,845011,5520,17,03,2025,12,80007,0,0,80007,12075,80007,12075,879740,0,0,879740,149530,879740,149530,1703,20949.03024427143,1770716.7813970428
824158,845011,5520,18,01,2025,12,148493,0,0,148493,26420,148493,26420,687231,0,0,687231,123854,687231,123854,1801,21276.406622826886,3934858.6408256046
824160,845011,5520,27,04,2025,12,403244,0,0,403244,71473,403244,71473,6199159,0,0,6199159,1062179,6199159,1062179,2704,13525.16778851572,6766790.221440088
824161,845011,5520,27,09,2025,12,203360,0,0,203360,43038,203360,43038,2231941,0,0,2231941,398801,2231941,398801,2709,13525.16778851572,4074673.1989749763
824162,845011,5520,28,11,2025,12,9614,0,0,9614,3062,9614,3062,92879,0,0,92879,21921,92879,21921,2811,12896.948702420039,276433.19848767115
824164,845011,5520,30,02,2025,12,3278,0,0,3278,1173,3278,1173,694089,0,0,694089,124715,694089,124715,3002,12411.976275046727,101914.73719440868
824168,845011,5700,10,03,2025,12,1139371,0,0,1139371,386457,1139371,386457,12146417,0,0,12146417,3504349,12146417,3504349,1003,19777.210656566334,30572165.994818624
824169,845011,5700,13,03,2025,12,310141,0,0,310141,105750,310141,105750,6990224,0,0,6990224,1941241,6990224,1941241,1303,19663.71566713922,8317751.727199889
824171,845011,5700,16,01,2025,12,217098,0,0,217098,74025,217098,74025,18937845,0,0,18937845,4744443,18937845,4744443,1601,19013.219662419055,5629814.342042282
824172,845011,5700,17,03,2025,12,31014,0,0,31014,10575,31014,10575,3172943,0,0,3172943,1109374,3172943,1109374,1703,19022.34637113229,804645.2514988959
824174,845011,5700,18,03,2025,12,93042,0,0,93042,31725,93042,31725,593776,0,0,593776,191505,593776,191505,1803,18893.35511925648,2397566.7646336476
