,commodity,cty_code,state,year,month,gen_val_mo,con_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,con_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,distance,gen_swt_mo,co2
799500,845011,2010,CA,2024,12,2805860,2805860,0,0,0,0,0,0,28767168,28767168,0,0,40635,35100,40635,35100,2847.1157327397364,597735.1723489392,136145697.05652502
799501,845011,2010,CO,2024,12,430796,430796,0,0,0,0,0,0,5790782,5790782,0,0,0,0,0,0,2028.894379593746,91772.90431711974,14895802.381439911
799502,845011,2010,FL,2024,12,1334984,1334984,0,0,328736,73407,328736,73407,19850931,19850931,0,0,3583492,831963,3583492,831963,2442.374792665254,284392.9815896289,55567539.955633864
799503,845011,2010,GA,2024,12,1199977,1199977,0,0,0,0,0,0,16540032,16540032,0,0,0,0,0,0,2389.453883861842,255632.30485831902,48865728.29474118
799504,845011,2010,IN,2024,12,1157949,1157949,0,0,0,0,0,0,13289441,13289441,0,0,0,0,0,0,2660.9102858506853,246679.0378302131,52511263.12529315
799505,845011,2010,KY,2024,12,1377841,1377841,0,0,0,0,0,0,14570352,14570352,0,0,0,0,0,0,2583.494941710599,293522.8513198929,60665184.13291325
799506,845011,2010,MD,2024,12,3539540,3539540,0,0,178889,40290,178889,40290,37852037,37852037,0,0,3029878,756969,3029878,756969,3445.154709249837,754031.7592238972,207820485.29713193
799507,845011,2010,NC,2024,12,0,0,0,0,0,0,0,0,2200,2200,2200,176,0,0,0,0,3011.529391850041,0.0,0.0
799508,845011,2010,OH,2024,12,0,0,0,0,0,0,0,0,0,2467,0,0,0,0,0,0,2996.722411584126,0.0,0.0
799509,845011,2010,PR,2024,12,283772,283772,0,0,283772,55574,283772,55574,2000542,2000542,0,0,2000542,413519,2000542,413519,4633.757745291259,60452.234013031004,22409680.606243365
799510,845011,2010,TX,2024,12,4147155,4147155,0,0,0,0,0,0,65675021,65675021,0,0,0,0,0,0,852.8322792632797,883472.5926036099,60276315.58534204
799511,845011,2010,WA,2024,12,637725,637725,0,0,0,0,0,0,8149709,8149709,0,0,211411,47041,211411,47041,3962.209195720608,135855.19690441692,43062936.83688918
799700,845020,2010,AZ,2024,12,15078,15078,0,0,0,0,0,0,206106,206106,0,0,0,0,0,0,1844.4437636261728,3212.0814754397243,473960.29165071645
799701,845020,2010,CA,2024,12,247838,247838,0,0,0,0,0,0,5096760,5096760,0,0,2495809,498128,2495809,498128,2847.1157327397364,52797.17792214023,12025574.072510762
799702,845020,2010,CO,2024,12,68960,68960,0,0,0,0,0,0,533378,533378,0,0,0,0,0,0,2028.894379593746,14690.618022703502,2384456.987121738
799703,845020,2010,FL,2024,12,171848,86119,0,0,165120,29218,165120,29218,2632953,2413912,0,0,1954327,393782,1954327,393782,2442.374792665254,36608.951942655905,7153022.512850918
799704,845020,2010,GA,2024,12,42805,42805,0,0,42805,10330,42805,10330,2111713,2111713,0,0,1482673,301710,1482673,301710,2389.453883861842,9118.792118065885,1743114.6594113025
799705,845020,2010,IL,2024,12,63326,63326,0,0,0,0,0,0,1767386,1767386,0,0,0,0,0,0,2522.072330734667,13490.401347240748,2721901.437470526
799706,845020,2010,IN,2024,12,10092,10092,0,0,0,0,0,0,814241,814241,0,0,0,0,0,0,2660.9102858506853,2149.90889044553,457657.17441826756
799707,845020,2010,KY,2024,12,63914,63914,0,0,0,0,0,0,650916,650916,0,0,0,0,0,0,2583.494941710599,13615.663577480736,2814079.8384363777
799708,845020,2010,MA,2024,12,0,0,0,0,0,0,0,0,29751,29751,0,0,0,0,0,0,4192.271096849977,0.0,0.0
799709,845020,2010,MD,2024,12,144648,144648,0,0,0,0,0,0,1814972,1814972,0,0,146330,32899,146330,32899,3445.154709249837,30814.508639037354,8492859.964079946
799710,845020,2010,MI,2024,12,0,0,0,0,0,0,0,0,157710,157710,0,0,0,0,0,0,3197.531966266117,0.0,0.0
799711,845020,2010,MN,2024,12,0,0,0,0,0,0,0,0,36926,36926,0,0,0,0,0,0,3065.7983074123918,0.0,0.0
799712,845020,2010,MO,2024,12,0,0,0,0,0,0,0,0,18379,18379,0,0,0,0,0,0,2073.2760794465025,0.0,0.0
799713,845020,2010,NE,2024,12,0,0,0,0,0,0,0,0,14846,14846,14846,28,0,0,0,0,2287.6470902215096,0.0,0.0
799714,845020,2010,NJ,2024,12,37300,37300,0,0,0,0,0,0,2217997,2217997,0,0,840998,169430,840998,169430,3752.1214722537475,7946.056442094557,2385165.519689856
799715,845020,2010,OH,2024,12,0,0,0,0,0,0,0,0,209818,523525,0,0,0,0,0,0,2996.722411584126,0.0,0.0
799716,845020,2010,PA,2024,12,598557,598557,0,0,532798,117110,532798,117110,4298609,4298609,0,0,4074153,839463,4074153,839463,3512.434521496396,127511.19854720621,35829978.85236705
799717,845020,2010,PR,2024,12,0,0,0,0,0,0,0,0,127710,127710,0,0,127710,18965,127710,18965,4633.757745291259,0.0,0.0
799718,845020,2010,TX,2024,12,16978924,16978924,0,0,0,0,0,0,193590985,193590985,0,0,0,0,0,0,852.8322792632797,3617037.2233253047,246778087.94789153
799719,845020,2010,WA,2024,12,140664,140664,0,0,31075,7080,31075,7080,1261882,1261882,0,0,606494,123017,606494,123017,3962.209195720608,29965.793119860286,9498459.284525739
